state_code,district_code,district_name,district_key,households_2011,persons_2011,males_2011,females_2011,rural_pop_2011,rural_hh_2011,urban_pop_2011,urban_hh_2011,urban_pct_2011,persons_2001,males_2001,females_2001,rural_2001,number_of_households_2001,scheduled_caste_population_2001,scheduled_tribe_population_2001,persons__literate_2001,persons__literacy_rate_2001,males__literatacy_rate_2001,females__literacy_rate_2001,total_educated_2001,below_primary_2001,primary_2001,middle_2001,matric_higher_secondary_diploma_2001,graduate_and_above_2001,x0___4_years_2001,x5___14_years_2001,x15___59_years_2001,total_workers_2001,main_workers_2001,marginal_workers_2001,non_workers_2001,total_inhabited_villages_2001,drinking_water_facilities_2001,safe_drinking_water_2001,primary_school_2001,middle_schools_2001,college_2001,medical_facility_2001,primary_health_centre_2001,bus_services_2001,paved_approach_road_2001,permanent_house_2001,semi_permanent_house_2001,temporary_house_2001,villages_inhabited,villages_uninhabited,towns,area_sqkm,pop_per_sqkm,pincodes
01,018,Kishtwar,kishtwar,45209,230696,120165,110531,215831,42499,14865,2710,6.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,2,1,1644,140,
01,019,Udhampur,udhampur,99240,554985,296784,258201,446777,78887,108208,20353,19.5,743509.0,399686.0,343823.0,626882,122462.0,,109867,343429.0,55.21,67.07,41.2,343429.0,70678.0,90460.0,77607.0,76342.0,14762.0,82529.0,190144.0,418530.0,366430.0,245387.0,121043.0,377079.0,594.0,594.0,542.0,535.0,226,-,261.0,32,316,291,26.9,56.3,16.8,325,6,6,2637,210,"[182101, 182104, 182121, 182122, 182125, 182126, 182127, 182128, 182141, 182142, 182161, 182301, 182312, 182313, 182315]"
01,020,Reasi,reasi,56689,314667,166461,148206,287671,51659,26996,5030,8.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253,2,5,1719,183,
01,021,Jammu,jammu,314199,1529958,813821,716137,764945,159291,765013,154908,50.0,1588772.0,850302.0,738470.0,887554,304100.0,,53304,1070574.0,77.02,84.45,68.55,1070574.0,151313.0,220259.0,261039.0,312206.0,104813.0,134773.0,343463.0,976467.0,528331.0,434430.0,93901.0,1060441.0,1043.0,1040.0,1034.0,787.0,327,-,328.0,30,752,821,74.1,12.4,12.9,780,72,20,2342,653,"[180001, 180002, 180003, 180004, 180005, 180006, 180007, 180009, 180010, 180011, 180012, 180013, 180015, 180016, 180017, 180018, 180019, 180020, 181101, 181102, 181111, 181121, 181122, 181123, 181124, 181131, 181132, 181133, 181141, 181143, 181145, 181152, 181201, 181202, 181203, 181204, 181205, 181206, 181207, 181221, 181224, 184120, 185154]"
01,022,Samba,samba,65385,318898,169124,149774,265283,54718,53615,10667,16.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345,31,6,904,353,
02,023,Chamba,chamba,102460,519080,261320,257760,482972,94596,36108,7864,6.96,460887.0,235218.0,225669.0,426345,87029.0,,117569,246169.0,62.91,76.41,48.85,246169.0,72121.0,75341.0,34228.0,51105.0,8997.0,48539.0,114767.0,263226.0,230452.0,128452.0,102000.0,230435.0,1118.0,1118.0,1108.0,852.0,290,2,300.0,28,402,333,61.5,37.0,1.5,1110,481,5,6522.0002245146725,80,"[176207, 176301, 176302, 176303, 176304, 176305, 176306, 176308, 176309, 176310, 176311, 176312, 176313, 176314, 176315, 176316, 176317, 176318, 176319, 176320, 176321, 176323, 176324, 176325]"
02,024,Kangra,kangra,338887,1510075,750591,759484,1423794,318379,86281,20508,5.71,1339030.0,661254.0,677776.0,1266745,272487.0,,1597,940505.0,80.08,87.54,73.01,940505.0,163622.0,259382.0,174315.0,287036.0,44916.0,116273.0,283533.0,800028.0,588994.0,336649.0,252345.0,750036.0,3619.0,3619.0,3617.0,1869.0,725,9,786.0,48,2127,1767,37.5,60.4,2.1,3617,252,9,5739.000080797061,263,"[176001, 176021, 176022, 176023, 176025, 176026, 176027, 176028, 176029, 176030, 176031, 176032, 176033, 176036, 176037, 176038, 176047, 176051, 176052, 176053, 176054, 176055, 176056, 176057, 176058, 176059, 176060, 176061, 176062, 176063, 176064, 176065, 176066, 176071, 176073, 176075, 176076, 176077, 176081, 176082, 176083, 176084, 176085, 176086, 176087, 176088, 176089, 176091, 176092, 176093, 176094, 176095, 176096, 176097, 176098, 176101, 176102, 176103, 176107, 176115, 176125, 176128, 176200, 176201, 176202, 176203, 176204, 176205, 176206, 176208, 176209, 176210, 176211, 176213, 176214, 176215, 176216, 176217, 176218, 176219, 176225, 176401, 176402, 176403, 176501, 176502, 177034, 177043, 177101, 177103, 177104, 177105, 177106, 177107, 177108, 177111, 177112, 177113, 177117]"
02,025,Lahul & Spiti,lahulspiti,6674,31564,16588,14976,31564,6674,0,0,0.0,33224.0,18441.0,14783.0,33224,7999.0,,24238,21609.0,73.1,82.82,60.7,21609.0,5282.0,5439.0,3288.0,5098.0,1164.0,2547.0,5764.0,21990.0,21088.0,19209.0,1879.0,12136.0,287.0,287.0,266.0,189.0,57,1,65.0,9,167,87,21.8,42.7,35.0,280,241,0,13841.000106717893,2,"[172113, 172114, 172117, 175132, 175133, 175139, 175140, 175142]"
02,026,Kullu,kullu,94807,437903,225452,212451,396512,84358,41391,10449,9.45,381571.0,198016.0,183555.0,351478,76902.0,,11351,239649.0,72.9,83.98,60.88,239649.0,65666.0,68910.0,35947.0,53725.0,11636.0,36725.0,89355.0,227149.0,216513.0,166715.0,49798.0,165058.0,172.0,172.0,172.0,171.0,122,-,140.0,13,111,82,87.9,11.0,1.1,314,12,5,5503.000197040496,80,"[172002, 172023, 172025, 172026, 172032, 172033, 175101, 175102, 175103, 175104, 175105, 175122, 175126, 175128, 175129, 175130, 175131, 175136, 175138, 175143]"
02,027,Mandi,mandi,219145,999777,498065,501712,937140,203747,62637,15398,6.27,901344.0,447872.0,453472.0,840362,182378.0,,10564,587884.0,75.24,85.94,64.82,587884.0,119193.0,165195.0,95535.0,173205.0,26714.0,85369.0,196391.0,535660.0,454292.0,269076.0,185216.0,447052.0,2833.0,2833.0,2833.0,1621.0,498,3,533.0,45,1207,748,82.5,16.9,0.6,2850,488,5,3950.00032714741,253,"[175001, 175002, 175003, 175004, 175005, 175006, 175007, 175008, 175009, 175010, 175011, 175012, 175014, 175015, 175016, 175017, 175018, 175019, 175021, 175023, 175024, 175025, 175026, 175027, 175028, 175029, 175030, 175031, 175032, 175033, 175034, 175035, 175036, 175037, 175038, 175039, 175040, 175042, 175046, 175047, 175048, 175049, 175050, 175051, 175052, 175121, 175124, 176090]"
