life_stage,holds_equity_shares,holds_mf_etf,holds_ulip,holds_fd_rd,holds_post_office,holds_real_estate,holds_gold_physical
1,53.43338643414103,60.38400268298818,30.37645677873732,54.50658170537436,12.576507084765659,5.349207680053659,17.657415947010985
2,47.50629326620516,70.16205160478289,43.85619886721208,58.91283826305853,17.699811202013844,7.8744493392070485,21.60950283196979
3,40.941658137154555,75.16206073012623,52.33708631866257,60.08188331627431,23.23439099283521,9.587171613783692,22.756738314568405
4,44.55128205128205,70.83333333333334,40.38461538461539,65.06410256410257,22.435897435897438,8.012820512820513,16.346153846153847
