income_quartile,holds_equity_shares,holds_mf_etf,holds_ulip,holds_fd_rd,holds_post_office,holds_real_estate,holds_gold_physical
"(7499.999, 17500.0]",41.828466595321814,67.6196300259899,34.76532640269072,52.63721143556032,16.052591346888857,3.837333741018193,14.829536768078274
"(17500.0, 35000.0]",49.68090328915071,65.29209621993127,36.975945017182134,57.85959744722632,15.72901325478645,5.135002454590083,18.87088856161021
"(35000.0, 45000.0]",53.577712609970675,67.0674486803519,43.988269794721404,60.205278592375365,17.683284457478006,8.563049853372434,21.759530791788855
"(45000.0, 150000.0]",53.95201785382183,68.60702994234703,45.54584340710433,59.17798028640506,17.054119397433514,13.260182257764551,27.338664682908686
