Instrument,Penetration_%
holds_mf_etf,66.51244530521483
holds_fd_rd,57.21971164191951
holds_equity_shares,49.31855677498028
holds_ulip,38.942687038232556
holds_gold_physical,19.980632666236282
holds_post_office,16.14303134638835
holds_real_estate,6.975826698228247
