cohort,holds_mf_etf,holds_equity_shares,holds_derivatives_fo,motive_quick_gains,motive_long_term_growth
Finfluencers Only,29.405381944444443,100.0,2.039930555555556,24.4140625,23.307291666666664
Professionals Only,35.78947368421053,100.0,2.175438596491228,21.894736842105264,24.842105263157897
