Group,N,Mean_Knowledge_Score,Mean_Products_Aware,Mean_Risk_Tolerance,holds_mf_etf,holds_equity_shares,holds_fd_rd,holds_derivatives_fo,holds_ulip,motive_long_term_growth,motive_quick_gains,motive_higher_returns,motive_financial_goals
IEP-Exposed,2768,5.302745664739884,10.227601156069364,1.9808526011560694,34.42919075144509,100.0,49.27745664739884,2.8179190751445087,34.21242774566474,24.16907514450867,21.71242774566474,20.953757225433524,30.20231213872832
Non-IEP (all),25114,3.754917575854105,10.229473600382256,1.9204029624910408,70.04857848212153,43.732579437763796,58.095086405988695,2.691725730668153,39.464043959544476,6.5342040296249095,6.530222186828063,7.553555785617585,6.386875846141595
Non-IEP (info-active),7029,5.361075544174136,10.080096742068573,1.9977237160335752,31.241997439180537,100.0,55.1287523118509,2.0913358941527957,32.8353962156779,23.346137430644472,23.33191065585432,26.988191776924168,22.819746763408734
