Country,Year,Mutual Funds (Mf) Holding Duration,"Percentage Of Mutual Funds (Mf) Holding Duration (UOM:%(Percentage)), Scaling Factor:1","Cumulative Of Mutual Funds (Mf) Holding Duration (UOM:%(Percentage)), Scaling Factor:1"
India,"Calendar Year (Jan - Dec), 2015",1–3 Years,21.0,78.0
India,"Calendar Year (Jan - Dec), 2015",6–12 months,19.0,57.0
India,"Calendar Year (Jan - Dec), 2015",< 6 Months,38.0,38.0
India,"Calendar Year (Jan - Dec), 2015",> 3 Years,22.0,100.0
