country,year,period,n,pct,cumulative
India,2025,Mid Term,6901,34.7,34.7
India,2025,Long Term,6742,33.9,68.6
India,2025,Short Term,5496,27.7,96.3
India,2025,DK/CS,736,3.7,100.0
